Index,features_set,feature_name,Type,Short_Description
283,TOPIC,fashion,Int,"The importance of topic fashion on a [0,4] scale. Zero means lowest importance, four highest"
284,TOPIC,alabama,Int,"The importance of topic alabama on a [0,4] scale. Zero means lowest importance, four highest"
285,TOPIC,singapore,Int,"The importance of topic singapore on a [0,4] scale. Zero means lowest importance, four highest"
286,TOPIC,national-football-league,Int,"The importance of topic national-football-league on a [0,4] scale. Zero means lowest importance, four highest"
287,TOPIC,the-beatles,Int,"The importance of topic the-beatles on a [0,4] scale. Zero means lowest importance, four highest"
288,TOPIC,hinduism,Int,"The importance of topic hinduism on a [0,4] scale. Zero means lowest importance, four highest"
289,TOPIC,transport,Int,"The importance of topic transport on a [0,4] scale. Zero means lowest importance, four highest"
290,TOPIC,ancient-near-east,Int,"The importance of topic ancient-near-east on a [0,4] scale. Zero means lowest importance, four highest"
291,TOPIC,iraq,Int,"The importance of topic iraq on a [0,4] scale. Zero means lowest importance, four highest"
292,TOPIC,belgium,Int,"The importance of topic belgium on a [0,4] scale. Zero means lowest importance, four highest"
293,TOPIC,formula-one,Int,"The importance of topic formula-one on a [0,4] scale. Zero means lowest importance, four highest"
294,TOPIC,organizations,Int,"The importance of topic organizations on a [0,4] scale. Zero means lowest importance, four highest"
295,TOPIC,jazz,Int,"The importance of topic jazz on a [0,4] scale. Zero means lowest importance, four highest"
296,TOPIC,minnesota,Int,"The importance of topic minnesota on a [0,4] scale. Zero means lowest importance, four highest"
297,TOPIC,anime-and-manga,Int,"The importance of topic anime-and-manga on a [0,4] scale. Zero means lowest importance, four highest"
298,TOPIC,romania,Int,"The importance of topic romania on a [0,4] scale. Zero means lowest importance, four highest"
299,TOPIC,holidays,Int,"The importance of topic holidays on a [0,4] scale. Zero means lowest importance, four highest"
300,TOPIC,professional-wrestling,Int,"The importance of topic professional-wrestling on a [0,4] scale. Zero means lowest importance, four highest"
301,TOPIC,hungary,Int,"The importance of topic hungary on a [0,4] scale. Zero means lowest importance, four highest"
302,TOPIC,cycling,Int,"The importance of topic cycling on a [0,4] scale. Zero means lowest importance, four highest"
303,TOPIC,basketball,Int,"The importance of topic basketball on a [0,4] scale. Zero means lowest importance, four highest"
304,TOPIC,tambayan-philippines,Int,"The importance of topic tambayan-philippines on a [0,4] scale. Zero means lowest importance, four highest"
305,TOPIC,norse-history-and-culture,Int,"The importance of topic norse-history-and-culture on a [0,4] scale. Zero means lowest importance, four highest"
306,TOPIC,university-of-cambridge,Int,"The importance of topic university-of-cambridge on a [0,4] scale. Zero means lowest importance, four highest"
307,TOPIC,women-in-red,Int,"The importance of topic women-in-red on a [0,4] scale. Zero means lowest importance, four highest"
308,TOPIC,korea,Int,"The importance of topic korea on a [0,4] scale. Zero means lowest importance, four highest"
309,TOPIC,latin-music,Int,"The importance of topic latin-music on a [0,4] scale. Zero means lowest importance, four highest"
310,TOPIC,motorsport,Int,"The importance of topic motorsport on a [0,4] scale. Zero means lowest importance, four highest"
311,TOPIC,energy,Int,"The importance of topic energy on a [0,4] scale. Zero means lowest importance, four highest"
312,TOPIC,amusement-parks,Int,"The importance of topic amusement-parks on a [0,4] scale. Zero means lowest importance, four highest"
313,TOPIC,skyscrapers,Int,"The importance of topic skyscrapers on a [0,4] scale. Zero means lowest importance, four highest"
314,TOPIC,rowing,Int,"The importance of topic rowing on a [0,4] scale. Zero means lowest importance, four highest"
315,TOPIC,soap-operas,Int,"The importance of topic soap-operas on a [0,4] scale. Zero means lowest importance, four highest"
316,TOPIC,punk-music,Int,"The importance of topic punk-music on a [0,4] scale. Zero means lowest importance, four highest"
317,TOPIC,wisconsin,Int,"The importance of topic wisconsin on a [0,4] scale. Zero means lowest importance, four highest"
318,TOPIC,canada-roads,Int,"The importance of topic canada-roads on a [0,4] scale. Zero means lowest importance, four highest"
319,TOPIC,doctor-who,Int,"The importance of topic doctor-who on a [0,4] scale. Zero means lowest importance, four highest"
320,TOPIC,national-basketball-association,Int,"The importance of topic national-basketball-association on a [0,4] scale. Zero means lowest importance, four highest"
321,TOPIC,albania,Int,"The importance of topic albania on a [0,4] scale. Zero means lowest importance, four highest"
322,TOPIC,christian-music,Int,"The importance of topic christian-music on a [0,4] scale. Zero means lowest importance, four highest"
323,TOPIC,eurovision,Int,"The importance of topic eurovision on a [0,4] scale. Zero means lowest importance, four highest"
324,TOPIC,middle-earth,Int,"The importance of topic middle-earth on a [0,4] scale. Zero means lowest importance, four highest"
325,TOPIC,madonna,Int,"The importance of topic madonna on a [0,4] scale. Zero means lowest importance, four highest"
